subfolder,image_name,image_path,status,instrument_pixels,needle_pixels,area_ratio,corrected_area,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_07c_id.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_07c_id.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_07c_new.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_07c_new.jpg,success,1112,3865,0.776572232,4.659433394,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_07c_old.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_07c_old.jpg,success,1018,6507,0.864717608,5.188305648,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_08h_new.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_08h_new.jpg,success,1044,4716,0.81875,4.9125,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_08h_old.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_08h_old.jpg,success,1167,5865,0.834044369,5.004266212,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_10h_id.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_10h_id.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_10h_new.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_10h_new.jpg,success,1240,4368,0.778887304,4.673323823,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_10h_old.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_10h_old.jpg,success,977,3375,0.775505515,4.653033088,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_11c_id.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_11c_id.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_11c_new.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_11c_new.jpg,success,902,5031,0.847968987,5.087813922,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_11c_old.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_11c_old.jpg,success,801,3730,0.823217833,4.939306996,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_12h_id.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_12h_id.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_12h_new.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_12h_new.jpg,success,980,4466,0.820051414,4.920308483,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_12h_old.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_12h_old.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_2838_8h_id.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_2838_8h_id.jpg,success,0,0,0,0,,,,,,,,
7-16_tree119_5461_day0,20250720_123958.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_123958.jpg,success,0,0,0,0,,,,,,,,
7-16_tree119_5461_day0,20250720_124013.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_124013.jpg,success,1171,4664,0.799314482,4.795886889,,,,,,,,
7-16_tree119_5461_day0,20250720_124334.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_124334.jpg,success,776,6910,0.899037211,5.394223263,,,,,,,,
7-16_tree119_5461_day0,20250720_125705.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-16_tree119_5461_day0\20250720_125705.jpg,success,0,138,1,6,,,,,,,,
